ID,geneProtein_label,therapy_label,disease_label,drug_label,NDCCode_label,negGeProDr_label,firstLine,acceleratedApproval,metastatic
0,aromatase,Abemaciclib,Breast cancer,VERZENIO- abemaciclib tablet,"0002-4483-54, 0002-4483-62, 0002-4815-54, 0002-4815-62, 0002-5337-54, 0002-5337-62, 0002-5337-63, 0002-6216-54",,,,Yes
1,*,Abiraterone Acetate,Prostate cancer,ZYTIGA- abiraterone acetate tablet,"57894-150-12, 57894-150-25, 57894-195-06, 57894-195-15",,,,
2,*,Acalabrutinib Maleate Monohydrate,Chronic lymphocytic leukemia,"CALQUENCE- acalabrutinib capsule, gelatin coated","0310-0512-28, 0310-0512-60, 0310-0512-95",,,,
3,*,Acalabrutinib Maleate Monohydrate,small lymphocytic lymphoma,"CALQUENCE- acalabrutinib capsule, gelatin coated","0310-0512-28, 0310-0512-60, 0310-0512-95",,,,
4,*,Acalabrutinib Maleate Monohydrate,Mantle cell lymphoma,"CALQUENCE- acalabrutinib capsule, gelatin coated","0310-0512-28, 0310-0512-60, 0310-0512-95",,Yes,,
5,KRAS,Adagrasib,Non-small cell lung cancer,"KRAZATI- adagrasib tablet, coated","80739-812-12, 80739-812-18",,,Yes,Yes
6,"DOR [, KRAS",Adagrasib,Colorectal cancer,"KRAZATI- adagrasib tablet, coated","80739-812-12, 80739-812-18",,,Yes,Yes
7,*,Ado-Trastuzumab Emtansine,Breast cancer,"KADCYLA- ado-trastuzumab emtansine injection, powder, lyophilized, for solution","50242-087-01, 50242-088-01",,,,Yes
8,*,Afamitresgene Autoleucel,synovial sarcoma,"TECELRA- afamitresgene autoleucel injection, suspension",83205-0001-2,,,,
9,"EGFR, epidermal growth factor receptor",Afatinib Dimaleate,Non-small cell lung cancer,"GILOTRIF- afatinib tablet, film coated","0597-0137-30, 0597-0137-90, 0597-0138-30, 0597-0138-95, 0597-0141-30",,Yes,,Yes
10,*,Aldesleukin,Melanoma,"PROLEUKIN- aldesleukin injection, powder, lyophilized, for solution",65483-116-07,,,,
11,*,Aldesleukin,Renal cell carcinoma,"PROLEUKIN- aldesleukin injection, powder, lyophilized, for solution",65483-116-07,,,,
12,*,Alectinib,Non-small cell lung cancer,ALECENSA- alectinib hydrochloride capsule,"50242-130-01, 50242-130-86",,,,
13,*,Alemtuzumab,B-cell chronic lymphocytic leukemia,CAMPATH- alemtuzumab injection,"58468-0357-1, 58468-0357-3",,,,
14,*,Alpelisib,Breast cancer,PIQRAY- alpelisib tablet,"0078-0701-51, 0078-0701-84, 0078-0708-02, 0078-0708-51, 0078-0708-90, 0078-0708-91, 0078-0715-02, 0078-0715-61, 0078-0715-91, 0078-0715-94",,,,
15,*,Amifostine,Xerostomia,ETHYOL- amifostine injection,"83107-030-01, 83107-030-02",,,,
16,*,Amifostine,Renal (kidney) toxicity,ETHYOL- amifostine injection,"83107-030-01, 83107-030-02",,,,
17,*,Aminolevulinic Acid Hydrochloride,Actinic keratosis,,,,,,
18,*,Amivantamab-vmjw,non-small cell lung cancer,RYBREVANT- amivantamab-vmjw injection,"57894-501-00, 57894-501-01",,,,
19,*,Anastrozole,Breast cancer,,,,,,
