therapy_label,disease_label,drug_label,raw_text,geneProtein_label,metastatic,firstLine,acceleratedApproval,negGeProDr_label
Idecabtagene Vicleucel,multiple myeloma,ABECMA- idecabtagene vicleucel suspension,,*,,,,
Abemaciclib,Breast cancer,VERZENIO- abemaciclib tablet,"
VERZENIO® (abemaciclib) is indicated:



										in combination with endocrine therapy (tamoxifen or an aromatase inhibitor) for the adjuvant treatment of adult patients with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative, node-positive, early breast cancer at high risk of recurrence [see Clinical Studies (14.1)].


 


1.2 Advanced or Metastatic Breast Cancer


									VERZENIO (abemaciclib) is indicated:



										in combination with an aromatase inhibitor as initial endocrine-based therapy for the treatment of adult patients with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer.


										in combination with fulvestrant for the treatment of adult patients with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer with disease progression following endocrine therapy.

as monotherapy for the treatment of adult patients with HR-positive, HER2-negative advanced or metastatic breast cancer with disease progression following endocrine therapy and prior chemotherapy in the metastatic setting.",aromatase,Yes,,,
Abiraterone Acetate,Prostate cancer,ZYTIGA- abiraterone acetate tablet,,*,,,,
Paclitaxel Albumin-stabilized Nanoparticle Formulation,Pancreatic cancer,"ABRAXANE- paclitaxel injection, powder, lyophilized, for suspension",,*,,,,
Paclitaxel Albumin-stabilized Nanoparticle Formulation,Breast cancer,"ABRAXANE- paclitaxel injection, powder, lyophilized, for suspension","
ABRAXANE is indicated for the treatment of breast cancer after failure of combination chemotherapy for metastatic disease or relapse within 6 months of adjuvant chemotherapy. Prior therapy should have included an anthracycline unless clinically contraindicated.",ABRAXANE,Yes,,,
Paclitaxel Albumin-stabilized Nanoparticle Formulation,Non-small cell lung cancer,"ABRAXANE- paclitaxel injection, powder, lyophilized, for suspension","
ABRAXANE is indicated for the first-line treatment of locally advanced or metastatic non-small cell lung cancer, in combination with carboplatin, in patients who are not candidates for curative surgery or radiation therapy.",ABRAXANE,Yes,Yes,,
Acalabrutinib Maleate Monohydrate,Chronic lymphocytic leukemia,"CALQUENCE- acalabrutinib capsule, gelatin coated","
CALQUENCE is indicated for the treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL).",*,,,,
Acalabrutinib Maleate Monohydrate,Mantle cell lymphoma,"CALQUENCE- acalabrutinib capsule, gelatin coated","
CALQUENCE in combination with bendamustine and rituximab is indicated for the treatment of adult patients with previously untreated mantle cell lymphoma (MCL) who are ineligible for autologous hematopoietic stem cell transplantation (HSCT).
 


1.2 Previously Treated Mantle Cell Lymphoma 
CALQUENCE is indicated for the treatment of adult patients with MCL who have received at least one prior therapy.",*,,Yes,,
Acalabrutinib Maleate Monohydrate,small lymphocytic lymphoma,"CALQUENCE- acalabrutinib capsule, gelatin coated","
CALQUENCE is indicated for the treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL).",*,,,,
Adagrasib,Colorectal cancer,"KRAZATI- adagrasib tablet, coated","
KRAZATI in combination with cetuximab is indicated for the treatment of adult patients with KRAS G12C-mutated locally advanced or metastatic colorectal cancer (CRC), as determined by an FDA-approved test [see Dosage and Administration (2.1)], who have received prior treatment with fluoropyrimidine-, oxaliplatin-, and irinotecan-based chemotherapy.
This indication is approved under accelerated approval based on ORR and DOR [see Clinical Studies (14.2)]. Continued approval for this indication may be contingent upon verification and description of a clinical benefit in a confirmatory trial.","KRAS, DOR [",Yes,,Yes,
