therapy_label,disease_label,drug_label,geneProtein_label,metastatic,firstLine,acceleratedApproval,negGeProDr_label
Abemaciclib,Breast cancer,VERZENIO- abemaciclib tablet,aromatase,Yes,,,
Paclitaxel Albumin-stabilized Nanoparticle Formulation,Breast cancer,"ABRAXANE- paclitaxel injection, powder, lyophilized, for suspension",ABRAXANE,Yes,,,
Paclitaxel Albumin-stabilized Nanoparticle Formulation,Non-small cell lung cancer,"ABRAXANE- paclitaxel injection, powder, lyophilized, for suspension",ABRAXANE,Yes,Yes,,
Acalabrutinib Maleate Monohydrate,Chronic lymphocytic leukemia,"CALQUENCE- acalabrutinib capsule, gelatin coated",*,,,,
Acalabrutinib Maleate Monohydrate,Mantle cell lymphoma,"CALQUENCE- acalabrutinib capsule, gelatin coated",*,,Yes,,
Acalabrutinib Maleate Monohydrate,small lymphocytic lymphoma,"CALQUENCE- acalabrutinib capsule, gelatin coated",*,,,,
Adagrasib,Colorectal cancer,"KRAZATI- adagrasib tablet, coated","KRAS, DOR [",Yes,,Yes,
Adagrasib,Non-small cell lung cancer,"KRAZATI- adagrasib tablet, coated",KRAS,Yes,,Yes,
Brentuximab Vedotin,Anaplastic large cell lymphoma,"ADCETRIS- brentuximab vedotin injection, powder, lyophilized, for solution",NOS,,Yes,,
Brentuximab Vedotin,Mycosis fungoides,"ADCETRIS- brentuximab vedotin injection, powder, lyophilized, for solution",*,,,,
Brentuximab Vedotin,Peripheral T-cell lymphoma,"ADCETRIS- brentuximab vedotin injection, powder, lyophilized, for solution",NOS,,Yes,,
Brentuximab Vedotin,Cutaneous anaplastic large cell lymphoma,"ADCETRIS- brentuximab vedotin injection, powder, lyophilized, for solution",*,,,,
Ado-Trastuzumab Emtansine,Breast cancer,"KADCYLA- ado-trastuzumab emtansine injection, powder, lyophilized, for solution",*,Yes,,,
Afatinib Dimaleate,Non-small cell lung cancer,"GILOTRIF- afatinib tablet, film coated","EGFR, epidermal growth factor receptor",Yes,Yes,,
Alectinib,Non-small cell lung cancer,ALECENSA- alectinib hydrochloride capsule,*,,,,
Alectinib,Non-small cell lung cancer,ALECENSA- alectinib hydrochloride capsule,*,,,,
Amifostine,Xerostomia,ETHYOL- amifostine injection,*,,,,
Darbepoetin Alfa,Anemia,"ARANESP- darbepoetin alfa injection, solution",*,,,,
Atezolizumab,Hepatocellular carcinoma,"TECENTRIQ- atezolizumab injection, solution",TECENTRIQ,Yes,,,
Atezolizumab,Small cell lung cancer,"TECENTRIQ- atezolizumab injection, solution","PD-L1, EGFR, TECENTRIQ, tumor-infiltrating immune cells [IC, ALK, TC",Yes,Yes,,
Atezolizumab,Non-small cell lung cancer,"TECENTRIQ- atezolizumab injection, solution","PD-L1, EGFR, TECENTRIQ, tumor-infiltrating immune cells [IC, ALK, TC",Yes,Yes,,
Atezolizumab,Alveolar soft part sarcoma,"TECENTRIQ- atezolizumab injection, solution",TECENTRIQ,Yes,,,
